Key,File,Type,UsedInMainMenu,english
x51StorageGroupDesc,blocks,Furniture,,A collection of secure storage items with a large amount of storage.\nAll items should drop themselves or the variant block when destroyed.\nBased on Sam's Storage Stuff.
cntHardenedChestX51SecureTE,blocks,Furniture,,x51 Hardened Chest (Secure)
cntMunitionsBoxArmyX51SecureTE,blocks,Furniture,,x51 Munitions Box (Secure)
cntMunitionsBoxRedX51SecureTE,blocks,Furniture,,x51 Munitions Box (Secure)
cntMunitionsBoxArmyX51SecureTE,blocks,Furniture,,x51 Munitions Box (Secure)
cntMunitionsBoxOrangeX51SecureTE,blocks,Furniture,,x51 Munitions Box (Secure)
cntMunitionsBoxGreenX51SecureTE,blocks,Furniture,,x51 Munitions Box (Secure)
cntMunitionsBoxBlueX51SecureTE,blocks,Furniture,,x51 Munitions Box (Secure)
cntMunitionsBoxX51VariantHelperTE,blocks,Furniture,,x51 Munitions Box (Secure)
cntPalletCartonMilitaryBaseX51SecureTE,blocks,Furniture,,x51 Ammo Pallet (Secure)
cntPalletCartonMilitaryCapX51SecureTE,blocks,Furniture,,x51 Ammo Pallet (Secure)
cmtPalletCartonMilitaryTileX51SecureTE,blocks,Furniture,,x51 Ammo Pallet (Secure)
cntPalletCartonMilitaryTileCoveredX51SecureTE,blocks,Furniture,,x51 Ammo Pallet (Secure)
cntPalletCartonMilitaryBaseX51VariantHelperTE,blocks,Furniture,,x51 Ammo Pallet (Secure)
cntGasPumpX51SecureTE,blocks,Furniture,,x51 Gas Pump (Secure)
cntMiniBeverageCoolerSecureTE,blocks,Furniture,,x51 Mini Beverage Cooler (Secure)
cntMiniBeverageCoolerUnderCounterSecureTE,blocks,Furniture,,x51 Mini Beverage Cooler (Secure)
cntMiniBeverageCoolerX51VariantHelperTE,blocks,Furniture,,x51 Mini Beverage Cooler (Secure)
cntUtilityCartEmptyX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartEmptyBrownX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartEmptyRedX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartEmptyYellowX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartEmptyGreenX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartEmptyBlueX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartEmptyGreyX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartEmptyBlackX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartFullX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartFullBrownX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartFullRedX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartFullYellowX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartFullGreenX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartFullBlueX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartFullGreyX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartFullBlackX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntJanitorCartFullX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntJanitorCartEmptyX51SecureTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntUtilityCartX51VariantHelperTE,blocks,Furniture,,x51 Utility Cart (Secure)
cntCabinetBottomX51SecureTE,blocks,Furniture,,x51 Cabinets (Secure)
cntCupboardCabinetRedTopX51SecureTE,blocks,Furniture,,x51 Cabinets (Secure)
cntCupboardCornerCNRRedX51SecureTE,blocks,Furniture,,x51 Cabinets (Secure)
cntCupboardCabinetFullRedTopX51SecureTE,blocks,Furniture,,x51 Cabinets (Secure)
cntCabinetOldBottomX51SecureTE,blocks,Furniture,,x51 Cabinets (Secure)
cntGraniteSinkX51SecureTE,blocks,Furniture,,x51 Cabinets (Secure)
cntCupboardCabinetOldTopX51SecureTE,blocks,Furniture,,x51 Cabinets (Secure)
cntCupboardCornerCNROldX51SecureTE,blocks,Furniture,,x51 Cabinets (Secure)
cntCupboardCabinetFullOldTopX51SecureTE,blocks,Furniture,,x51 Cabinets (Secure)
cntCabinetOldSinkX51SecureTE,blocks,Furniture,,x51 Cabinets (Secure)
cntCabinetBlockX51VariantHelperSecureTE,blocks,Furniture,,x51 Cabinets (Secure)
cntNightstandX51SecureTE,blocks,Furniture,,x51 NightStand (Secure)
cntDeskMetalX51SecureTE,blocks,Furniture,,x51 Metal Desk (Secure)
cntDeskWoodX51SecureTE,blocks,Furniture,,x51 Wood Desk (Secure)
cntLockersShortX51SecureTE,blocks,Furniture,,x51 Lockers (Secure)
